"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable","column_default","insert_requirement"
"public","cpq_sampler_result",16,"created_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
"public","cpq_setup_account_context",1,"id","bigint","NO","nextval('cpq_setup_account_context_id_seq'::regclass)","AUTO IF OMITTED"
"public","cpq_setup_account_context",2,"account_code","text","NO",,"REQUIRED ON INSERT"
"public","cpq_setup_account_context",3,"customer_id","text","NO",,"REQUIRED ON INSERT"
"public","cpq_setup_account_context",4,"currency","text","NO",,"REQUIRED ON INSERT"
"public","cpq_setup_account_context",5,"language","text","NO",,"REQUIRED ON INSERT"
"public","cpq_setup_account_context",6,"country_code","character","NO",,"REQUIRED ON INSERT"
"public","cpq_setup_account_context",7,"is_active","boolean","NO","true","AUTO IF OMITTED"
"public","cpq_setup_account_context",8,"created_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
"public","cpq_setup_account_context",9,"updated_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
"public","cpq_setup_ruleset",1,"id","bigint","NO","nextval('cpq_setup_ruleset_id_seq'::regclass)","AUTO IF OMITTED"
"public","cpq_setup_ruleset",2,"cpq_ruleset","text","NO",,"REQUIRED ON INSERT"
"public","cpq_setup_ruleset",3,"description","text","YES",,"OPTIONAL"
"public","cpq_setup_ruleset",4,"bike_type","text","YES",,"OPTIONAL"
"public","cpq_setup_ruleset",5,"namespace","text","NO","'Default'::text","AUTO IF OMITTED"
"public","cpq_setup_ruleset",6,"header_id","text","NO","'Simulator'::text","AUTO IF OMITTED"
"public","cpq_setup_ruleset",7,"is_active","boolean","NO","true","AUTO IF OMITTED"
"public","cpq_setup_ruleset",8,"sort_order","integer","NO","0","AUTO IF OMITTED"
"public","cpq_setup_ruleset",9,"created_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
"public","cpq_setup_ruleset",10,"updated_at","timestamp with time zone","NO","now()","AUTO IF OMITTED"
