"table_schema","table_name","ordinal_position","column_name","data_type","udt_name","character_maximum_length","numeric_precision","numeric_scale","datetime_precision","is_nullable","column_default","insert_requirement","column_comment"
"public","qpart_part_metadata_values",8,"value_date","date","date",,,,0,"YES",,"OPTIONAL",
"public","qpart_part_metadata_values",9,"value_json","jsonb","jsonb",,,,,"YES",,"OPTIONAL",
"public","qpart_part_metadata_values",10,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_metadata_values",11,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_translations",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_part_translations_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_translations",2,"part_id","bigint","int8",,64,0,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_translations",3,"locale","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_part_translations",4,"name","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_part_translations",5,"description","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_part_translations",6,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_part_translations",7,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_parts",1,"id","bigint","int8",,64,0,,"NO","nextval('qpart_parts_id_seq'::regclass)","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_parts",2,"part_number","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_parts",3,"status","text","text",,,,,"NO","'active'::text","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_parts",4,"default_name","text","text",,,,,"NO",,"REQUIRED_ON_INSERT",
"public","qpart_parts",5,"default_description","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_parts",6,"hierarchy_node_id","bigint","int8",,64,0,,"YES",,"OPTIONAL",
"public","qpart_parts",7,"created_by","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_parts",8,"updated_by","text","text",,,,,"YES",,"OPTIONAL",
"public","qpart_parts",9,"created_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
"public","qpart_parts",10,"updated_at","timestamp with time zone","timestamptz",,,,6,"NO","now()","AUTO_OR_DEFAULT_IF_OMITTED",
