"table_schema","table_name","trigger_name","event_manipulation","action_timing","action_statement"
"public","qpart_hierarchy_nodes","qpart_hierarchy_parent_trg","INSERT","BEFORE","EXECUTE FUNCTION qpart_validate_hierarchy_parent()"
"public","qpart_hierarchy_nodes","qpart_hierarchy_parent_trg","UPDATE","BEFORE","EXECUTE FUNCTION qpart_validate_hierarchy_parent()"
