"table_schema","table_name","index_name","index_definition"
"public","cpq_setup_ruleset","cpq_setup_ruleset_cpq_ruleset_key","CREATE UNIQUE INDEX cpq_setup_ruleset_cpq_ruleset_key ON public.cpq_setup_ruleset USING btree (cpq_ruleset)"
"public","cpq_setup_ruleset","cpq_setup_ruleset_pkey","CREATE UNIQUE INDEX cpq_setup_ruleset_pkey ON public.cpq_setup_ruleset USING btree (id)"
"public","qpart_compatibility_reference_values","qpart_compatibility_reference_bike_type_feature_label_optio_key","CREATE UNIQUE INDEX qpart_compatibility_reference_bike_type_feature_label_optio_key ON public.qpart_compatibility_reference_values USING btree (bike_type, feature_label, option_value)"
"public","qpart_compatibility_reference_values","qpart_compatibility_reference_values_pkey","CREATE UNIQUE INDEX qpart_compatibility_reference_values_pkey ON public.qpart_compatibility_reference_values USING btree (id)"
"public","qpart_country_allocation","qpart_country_allocation_active_idx","CREATE INDEX qpart_country_allocation_active_idx ON public.qpart_country_allocation USING btree (active)"
"public","qpart_country_allocation","qpart_country_allocation_country_idx","CREATE INDEX qpart_country_allocation_country_idx ON public.qpart_country_allocation USING btree (country_code)"
"public","qpart_country_allocation","qpart_country_allocation_part_country_uniq","CREATE UNIQUE INDEX qpart_country_allocation_part_country_uniq ON public.qpart_country_allocation USING btree (part_id, country_code)"
"public","qpart_country_allocation","qpart_country_allocation_pkey","CREATE UNIQUE INDEX qpart_country_allocation_pkey ON public.qpart_country_allocation USING btree (id)"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_parent_code_uniq","CREATE UNIQUE INDEX qpart_hierarchy_nodes_parent_code_uniq ON public.qpart_hierarchy_nodes USING btree (parent_id, code)"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_parent_level_code_uidx","CREATE UNIQUE INDEX qpart_hierarchy_nodes_parent_level_code_uidx ON public.qpart_hierarchy_nodes USING btree (COALESCE(parent_id, (0)::bigint), level, code)"
"public","qpart_hierarchy_nodes","qpart_hierarchy_nodes_pkey","CREATE UNIQUE INDEX qpart_hierarchy_nodes_pkey ON public.qpart_hierarchy_nodes USING btree (id)"
"public","qpart_metadata_definitions","qpart_metadata_definitions_key_key","CREATE UNIQUE INDEX qpart_metadata_definitions_key_key ON public.qpart_metadata_definitions USING btree (key)"
"public","qpart_metadata_definitions","qpart_metadata_definitions_pkey","CREATE UNIQUE INDEX qpart_metadata_definitions_pkey ON public.qpart_metadata_definitions USING btree (id)"
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_part_id_bike_type_key","CREATE UNIQUE INDEX qpart_part_bike_type_compatibility_part_id_bike_type_key ON public.qpart_part_bike_type_compatibility USING btree (part_id, bike_type)"
"public","qpart_part_bike_type_compatibility","qpart_part_bike_type_compatibility_pkey","CREATE UNIQUE INDEX qpart_part_bike_type_compatibility_pkey ON public.qpart_part_bike_type_compatibility USING btree (id)"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_channel_idx","CREATE INDEX qpart_part_channel_assignment_channel_idx ON public.qpart_part_channel_assignment USING btree (channel)"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_part_channel_uniq","CREATE UNIQUE INDEX qpart_part_channel_assignment_part_channel_uniq ON public.qpart_part_channel_assignment USING btree (part_id, channel)"
"public","qpart_part_channel_assignment","qpart_part_channel_assignment_pkey","CREATE UNIQUE INDEX qpart_part_channel_assignment_pkey ON public.qpart_part_channel_assignment USING btree (id)"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rule_part_id_bike_type_feature_lab_key","CREATE UNIQUE INDEX qpart_part_compatibility_rule_part_id_bike_type_feature_lab_key ON public.qpart_part_compatibility_rules USING btree (part_id, bike_type, feature_label, option_value)"
"public","qpart_part_compatibility_rules","qpart_part_compatibility_rules_pkey","CREATE UNIQUE INDEX qpart_part_compatibility_rules_pkey ON public.qpart_part_compatibility_rules USING btree (id)"
"public","qpart_part_images","qpart_part_images_part_order_idx","CREATE INDEX qpart_part_images_part_order_idx ON public.qpart_part_images USING btree (part_id, image_index)"
"public","qpart_part_images","qpart_part_images_part_slot_uq","CREATE UNIQUE INDEX qpart_part_images_part_slot_uq ON public.qpart_part_images USING btree (part_id, image_index)"
"public","qpart_part_images","qpart_part_images_pkey","CREATE UNIQUE INDEX qpart_part_images_pkey ON public.qpart_part_images USING btree (id)"
"public","qpart_part_images","qpart_part_images_primary_uq","CREATE UNIQUE INDEX qpart_part_images_primary_uq ON public.qpart_part_images USING btree (part_id) WHERE is_primary"
"public","qpart_part_metadata_values","qpart_part_metadata_values_part_id_metadata_definition_id_l_key","CREATE UNIQUE INDEX qpart_part_metadata_values_part_id_metadata_definition_id_l_key ON public.qpart_part_metadata_values USING btree (part_id, metadata_definition_id, locale)"
"public","qpart_part_metadata_values","qpart_part_metadata_values_pkey","CREATE UNIQUE INDEX qpart_part_metadata_values_pkey ON public.qpart_part_metadata_values USING btree (id)"
"public","qpart_part_translations","qpart_part_translations_part_id_locale_key","CREATE UNIQUE INDEX qpart_part_translations_part_id_locale_key ON public.qpart_part_translations USING btree (part_id, locale)"
"public","qpart_part_translations","qpart_part_translations_pkey","CREATE UNIQUE INDEX qpart_part_translations_pkey ON public.qpart_part_translations USING btree (id)"
"public","qpart_parts","qpart_parts_part_number_key","CREATE UNIQUE INDEX qpart_parts_part_number_key ON public.qpart_parts USING btree (part_number)"
"public","qpart_parts","qpart_parts_pkey","CREATE UNIQUE INDEX qpart_parts_pkey ON public.qpart_parts USING btree (id)"
"public","qpart_parts","qpart_parts_search_idx","CREATE INDEX qpart_parts_search_idx ON public.qpart_parts USING btree (part_number, default_name)"
